keyword,result
womens dresses,"40,000"
desk,"7,000"
water bottles,"10,000"
earbuds,"8,000"
power bank,"2,000"
pencil case,"10,000"
crocs,"1,000"
shower curtain,"30,000"
disposable face masks,"8,000"
iphone 12 pro max case,"10,000"
apple,"4,000"
headphones,"10,000"
summer dress for women,"40,000"
n95 mask,432
outdoor lights,"7,000"
black disposable face masks,"2,000"
led lights,"20,000"
pop it,"30,000"
laptop,"4,000"
backpacks,"100,000"
school supplies,"100,000"
iphone,"1,000"
backpack,"40,000"
mini fridge,"1,000"
iphone 12 case,"50,000"
room decor,"100,000"
air fryer,721
usb c hub,"1,000"
shoe rack,789
portable charger,"5,000"
backpacks for girls,"20,000"
car accessories,"100,000"
ps5,"30,000"
masks,"100,000"
fidgets,"20,000"
iphone 11 case,"40,000"
gift cards,729
horror movies,"80,000"
ipad,784
bluetooth headphones,"10,000"
nintendo switch,"60,000"
anker,434
apple watch band,"5,000"
dresses,"40,000"
lunch box,"10,000"
pop its,"100,000"
halloween decorations,"100,000"
iphone 12 pro case,"20,000"
lego,"7,000"
making the cut store,"40,000"
my orders,"30,000"
desk chair,"3,000"
office chair,"2,000"
squishmallow,361
apple watch,918
mask,"100,000"
rose toy for women,"8,000"
dildo,405
backpacks for school,"60,000"
amazon ptime,"1,000"
iphone xr case,"10,000"
hand sanitizer,"8,000"
tv stand,"4,000"
dresser,"1,000"
computer desk,"6,000"
bluetooth earbuds,"8,000"
whole foods,"100,000"
kids mask,"8,000"
wedding guest dresses for women,"10,000"
candy,"40,000"
gaming chair,"1,000"
coffee table,"3,000"
tv,"1,000"
womens tops,"100,000"
toys,"100,000"
fidget toys,"20,000"
luggage,"2,000"
fidget toy,"20,000"
bluetooth speakers,"10,000"
gaming pc,581
alexa,"2,000"
led strip lights,"4,000"
protein powder,"7,000"
bathroom decor,"100,000"
movies,"200,000"
shower caddy,"3,000"
pokemon,"40,000"
face masks,"100,000"
comedy movies,"50,000"
paper towels,"2,000"
bathroom organizer,"50,000"
simple dimple,"3,000"
dog bed,"2,000"
toilet paper,"2,000"
harry potter,"7,000"
dog toys,"10,000"
pens,"10,000"
